line_1,suburb,postal_code,state,country,location
134 JOLIMONT ROAD,VERMONT,3133,VIC,AUSTRALIA,"{'longitude': 145.18686289, 'latitude': -37.84506885}"
41 OLIVE PARADE,NEW TOWN,5554,SA,AUSTRALIA,"{'longitude': 137.70171182, 'latitude': -33.95574863}"
37 SEEGER DRIVE,MORPHETT VALE,5162,SA,AUSTRALIA,"{'longitude': 138.51199559, 'latitude': -35.10896215}"
2465 ILLAWARRA HIGHWAY,TULLIMBAR,2527,NSW,AUSTRALIA,"{'longitude': 150.74464748, 'latitude': -34.57653022}"
22 JUDE AVENUE,MILDURA,3500,VIC,AUSTRALIA,"{'longitude': 142.14844279, 'latitude': -34.1770559}"
7 BELLOMBI STREET,CAMPSIE,2194,NSW,AUSTRALIA,"{'longitude': 151.11244319, 'latitude': -33.90760429}"
19 CURTIS COURT,NAGAMBIE,3608,VIC,AUSTRALIA,"{'longitude': 145.1576403, 'latitude': -36.77874653}"
13 DUNN ROAD,HIGHBURY,5089,SA,AUSTRALIA,"{'longitude': 138.71221658, 'latitude': -34.84842706}"
9 RIDGEWAY ROAD,EDINBURGH NORTH,5113,SA,AUSTRALIA,"{'longitude': 138.6566535, 'latitude': -34.70710008}"
"UNIT 99, 23 REGENT HONEYEATER GROVE",NORTH KELLYVILLE,2155,NSW,AUSTRALIA,"{'longitude': 150.93470741, 'latitude': -33.68502132}"
32 KLOEDEN STREET,CEDUNA,5690,SA,AUSTRALIA,"{'longitude': 133.67776325, 'latitude': -32.12899435}"
3 PROMINENCE RISE,CRAIGIEBURN,3064,VIC,AUSTRALIA,"{'longitude': 144.92727254, 'latitude': -37.56870616}"
7 OATLEY PLACE,PADSTOW HEIGHTS,2211,NSW,AUSTRALIA,"{'longitude': 151.02751407, 'latitude': -33.96641124}"
114 EDWARDS ROAD,MAIDEN GULLY,3551,VIC,AUSTRALIA,"{'longitude': 144.20697755, 'latitude': -36.75369905}"
33 MUIR STREET,CANNON HILL,4170,QLD,AUSTRALIA,"{'longitude': 153.08807154, 'latitude': -27.46991639}"
258 SHADBOLT ROAD,MOTHAR MOUNTAIN,4570,QLD,AUSTRALIA,"{'longitude': 152.7614497, 'latitude': -26.22676175}"
34 WARREN ROAD,PARA VISTA,5093,SA,AUSTRALIA,"{'longitude': 138.66453483, 'latitude': -34.82166298}"
46 SUNHILL ROAD,GLEN IRIS,3146,VIC,AUSTRALIA,"{'longitude': 145.05847092, 'latitude': -37.84877984}"
20 RIVERSIDE CIRCUIT,JOYNER,4500,QLD,AUSTRALIA,"{'longitude': 152.95433714, 'latitude': -27.27237154}"
112 MAIN NORTH ROAD,CLARE,5453,SA,AUSTRALIA,"{'longitude': 138.61752522, 'latitude': -33.84408265}"
"UNIT 2, 23 REYNOLDS AVENUE",DERNANCOURT,5075,SA,AUSTRALIA,"{'longitude': 138.681784, 'latitude': -34.85703192}"
11 MORNING GLORY AVENUE,O'HALLORAN HILL,5158,SA,AUSTRALIA,"{'longitude': 138.55723502, 'latitude': -35.07167044}"
66B MITCHELL STREET,NORTHCOTE,3070,VIC,AUSTRALIA,"{'longitude': 145.00369663, 'latitude': -37.77279029}"
"UNIT 3, 84 FINNEGAN CIRCUIT",OXLEY,4075,QLD,AUSTRALIA,"{'longitude': 152.9745532, 'latitude': -27.56461495}"
18 PERRIAM STREET,MOUNT GAMBIER,5290,SA,AUSTRALIA,"{'longitude': 140.77053561, 'latitude': -37.81010069}"
46 DALTON AVENUE,ALDGATE,5154,SA,AUSTRALIA,"{'longitude': 138.74825747, 'latitude': -35.02490958}"
61 PALMER STREET,BALMAIN,2041,NSW,AUSTRALIA,"{'longitude': 151.18077081, 'latitude': -33.86034467}"
58 LINDEN TREE WAY,CRANBOURNE NORTH,3977,VIC,AUSTRALIA,"{'longitude': 145.32045889, 'latitude': -38.08585636}"
33 GREENSVIEW ROAD,BANKSIA PARK,5091,SA,AUSTRALIA,"{'longitude': 138.72828574, 'latitude': -34.80624577}"
92 BOYKAMBIL ESPLANADE NORTH,HOPE ISLAND,4212,QLD,AUSTRALIA,"{'longitude': 153.37872806, 'latitude': -27.86972512}"
10 ROYAL PARADE,PASCOE VALE SOUTH,3044,VIC,AUSTRALIA,"{'longitude': 144.94583695, 'latitude': -37.74575584}"
31 BENJAMIN DRIVE,WALLSEND,2287,NSW,AUSTRALIA,"{'longitude': 151.65754428, 'latitude': -32.89124369}"
45 PORT ELLIOT ROAD,GOOLWA BEACH,5214,SA,AUSTRALIA,"{'longitude': 138.77035006, 'latitude': -35.50547658}"
9 LARSEN COURT,OTTOWAY,5013,SA,AUSTRALIA,"{'longitude': 138.53307952, 'latitude': -34.84832627}"
22 EDDYS GROVE,BENTLEIGH,3204,VIC,AUSTRALIA,"{'longitude': 145.02942091, 'latitude': -37.91918384}"
846 SAYERS ROAD,TARNEIT,3029,VIC,AUSTRALIA,"{'longitude': 144.66694309, 'latitude': -37.84564855}"
8 CYPRESS STREET,HIDDEN VALLEY,4703,QLD,AUSTRALIA,"{'longitude': 150.71207129, 'latitude': -23.16136997}"
6 DAVID STREET,MOUNT PRITCHARD,2170,NSW,AUSTRALIA,"{'longitude': 150.90794849, 'latitude': -33.90146754}"
"UNIT 104, 177-185 WILLIAM STREET",DARLINGHURST,2010,NSW,AUSTRALIA,"{'longitude': 151.21963042, 'latitude': -33.87506603}"
10 DEMPSEY STREET,NORTH RYDE,2113,NSW,AUSTRALIA,"{'longitude': 151.11557685, 'latitude': -33.80018378}"
27 YARRA BANK COURT,ABBOTSFORD,3067,VIC,AUSTRALIA,"{'longitude': 144.99838893, 'latitude': -37.80473084}"
"UNIT 3, 152 ALMA ROAD",ST KILDA EAST,3183,VIC,AUSTRALIA,"{'longitude': 144.99980263, 'latitude': -37.86233409}"
31 DEREK CRESCENT,MORPHETT VALE,5162,SA,AUSTRALIA,"{'longitude': 138.54116658, 'latitude': -35.13399371}"
32 ROSE STREET,MURRUMBATEMAN,2582,NSW,AUSTRALIA,"{'longitude': 149.02878768, 'latitude': -34.96651092}"
5A FERN ROAD,HUNTERS HILL,2110,NSW,AUSTRALIA,"{'longitude': 151.15969086, 'latitude': -33.84250033}"
26 BUTTERICK STREET,PORT PIRIE SOUTH,5540,SA,AUSTRALIA,"{'longitude': 138.00758454, 'latitude': -33.20231179}"
8 SUNNY VALE DRIVE,LANGWARRIN,3910,VIC,AUSTRALIA,"{'longitude': 145.20119971, 'latitude': -38.15960291}"
4 SHIRLEY COURT,MITCHAM,3132,VIC,AUSTRALIA,"{'longitude': 145.1881489, 'latitude': -37.81336585}"
"UNIT 13, 9 BLAXLAND AVENUE",NEWINGTON,2127,NSW,AUSTRALIA,"{'longitude': 151.06180441, 'latitude': -33.83350815}"
37 PICKWORTH DRIVE,LEOPOLD,3224,VIC,AUSTRALIA,"{'longitude': 144.46124179, 'latitude': -38.19216211}"
8 OCEANIC DRIVE,PATTERSON LAKES,3197,VIC,AUSTRALIA,"{'longitude': 145.14285888, 'latitude': -38.05744385}"
39 NYRANG CIRCUIT,WOODCROFT,5162,SA,AUSTRALIA,"{'longitude': 138.5635265, 'latitude': -35.09780047}"
"VILLA 63, 100 ALBANY CREEK ROAD",ASPLEY,4034,QLD,AUSTRALIA,"{'longitude': 153.01087005, 'latitude': -27.36443144}"
78 GREENFIELDS DRIVE,ANDREWS FARM,5114,SA,AUSTRALIA,"{'longitude': 138.66085013, 'latitude': -34.66898077}"
"UNIT 129, 2 ROCHESTER PARADE",CRANBOURNE EAST,3977,VIC,AUSTRALIA,"{'longitude': 145.2994627, 'latitude': -38.10109705}"
21 SINCLAIR STREET,HAYBOROUGH,5211,SA,AUSTRALIA,"{'longitude': 138.64245583, 'latitude': -35.53151107}"
248 WOOLPACK ROAD,ST ARNAUD,3478,VIC,AUSTRALIA,"{'longitude': 143.2260245, 'latitude': -36.58269822}"
20 BANKS STREET,PADSTOW,2211,NSW,AUSTRALIA,"{'longitude': 151.03408072, 'latitude': -33.95115344}"
1 SLIGO CLOSE,KILLARNEY HEIGHTS,2087,NSW,AUSTRALIA,"{'longitude': 151.20928208, 'latitude': -33.77082726}"
5 ELLABAY CRESCENT,REDLAND BAY,4165,QLD,AUSTRALIA,"{'longitude': 153.30108284, 'latitude': -27.63682941}"
