postcode,state,locality,tr
0800,NT,DARWIN CITY,Darwin
0810,NT,ALAWA,Darwin
0810,NT,BRINKIN,Darwin
0810,NT,CASUARINA,Darwin
0810,NT,COCONUT GROVE,Darwin
0810,NT,JINGILI,Darwin
0810,NT,LEE POINT,Darwin
0810,NT,LYONS,Darwin
0810,NT,MILLNER,Darwin
0810,NT,MOIL,Darwin
0810,NT,MUIRHEAD,Darwin
0810,NT,NAKARA,Darwin
0810,NT,NIGHTCLIFF,Darwin
0810,NT,RAPID CREEK,Darwin
0810,NT,TIWI,Darwin
0810,NT,WAGAMAN,Darwin
0810,NT,WANGURI,Darwin
0812,NT,ANULA,Darwin
0812,NT,BUFFALO CREEK,Darwin
0812,NT,HOLMES,Darwin
0812,NT,KARAMA,Darwin
0812,NT,LEANYER,Darwin
0812,NT,MALAK,Darwin
0812,NT,MARRARA,Darwin
0812,NT,WULAGI,Darwin
0820,NT,BAYVIEW,Darwin
0820,NT,CHARLES DARWIN,Darwin
0820,NT,COONAWARRA,Darwin
0820,NT,EAST POINT,Darwin
0820,NT,EATON,Darwin
0820,NT,FANNIE BAY,Darwin
0820,NT,LARRAKEYAH,Darwin
0820,NT,LUDMILLA,Darwin
0820,NT,PARAP,Darwin
0820,NT,STUART PARK,Darwin
0820,NT,THE GARDENS,Darwin
0820,NT,THE NARROWS,Darwin
0820,NT,WINNELLIE,Darwin
0820,NT,WOOLNER,Darwin
0822,NT,BEES CREEK,Darwin
0822,NT,CHANNEL ISLAND,Darwin
0822,NT,EAST ARM,Darwin
0822,NT,EAST ARNHEM,Litchfield Kakadu Arnhem
0822,NT,ELRUNDIE,Darwin
0822,NT,FREDS PASS,Darwin
0822,NT,GUNBALANYA,Litchfield Kakadu Arnhem
0822,NT,HIDDEN VALLEY,Darwin
0822,NT,MCMINNS LAGOON,Darwin
0822,NT,RAMINGINING,Litchfield Kakadu Arnhem
0822,NT,TIVENDALE,Darwin
0822,NT,WADEYE,Katherine Daly
0822,NT,WEST ARNHEM,Litchfield Kakadu Arnhem
0822,NT,WISHART,Darwin
0828,NT,BERRIMAH,Darwin
0828,NT,KNUCKEY LAGOON,Darwin
0829,NT,HOLTZE,Darwin
0829,NT,PINELANDS,Darwin
