postcode,state,locality,tr
4559,QLD,WOOMBYE,SUNSHINE COAST
4564,QLD,TWIN WATERS,SUNSHINE COAST
4573,QLD,PEREGIAN SPRINGS,SUNSHINE COAST
4220,QLD,BURLEIGH WATERS,GOLD COAST
4561,QLD,NINDERRY,SUNSHINE COAST
4218,QLD,BROADBEACH,GOLD COAST
4560,QLD,HIGHWORTH,SUNSHINE COAST
4560,QLD,PARKLANDS,SUNSHINE COAST
4564,QLD,MUDJIMBA,SUNSHINE COAST
4574,QLD,KIDAMAN CREEK,SUNSHINE COAST
4555,QLD,CHEVALLUM,SUNSHINE COAST
4223,QLD,CURRUMBIN WATERS,GOLD COAST
4560,QLD,PERWILLOWEN,SUNSHINE COAST
4556,QLD,KUNDA PARK,SUNSHINE COAST
4214,QLD,PARKWOOD,GOLD COAST
,QLD,GAGALBA,SUNSHINE COAST
4573,QLD,COOLUM BEACH,SUNSHINE COAST
4217,QLD,SURFERS PARADISE,GOLD COAST
4553,QLD,MOOLOOLAH VALLEY,SUNSHINE COAST
4558,QLD,KULUIN,SUNSHINE COAST
4561,QLD,VALDORA,SUNSHINE COAST
4562,QLD,BELLI PARK,SUNSHINE COAST
4561,QLD,BRIDGES,SUNSHINE COAST
4207,QLD,STAPYLTON,GOLD COAST
4550,QLD,LANDSBOROUGH,SUNSHINE COAST
4551,QLD,CORBOULD PARK,SUNSHINE COAST
4555,QLD,HUNCHY,SUNSHINE COAST
4209,QLD,WILLOW VALE,GOLD COAST
4214,QLD,ASHMORE,GOLD COAST
4562,QLD,WEYBA DOWNS,SUNSHINE COAST
4561,QLD,MAROOCHY RIVER,SUNSHINE COAST
,QLD,BRIBIE ISLAND NORTH,SUNSHINE COAST
4551,QLD,GOLDEN BEACH,SUNSHINE COAST
4572,QLD,ALEXANDRA HEADLAND,SUNSHINE COAST
4557,QLD,MOOLOOLABA,SUNSHINE COAST
4564,QLD,MARCOOLA,SUNSHINE COAST
4553,QLD,PALMVIEW,SUNSHINE COAST
4556,QLD,MONS,SUNSHINE COAST
4210,QLD,OXENFORD,GOLD COAST
4553,QLD,GLENVIEW,SUNSHINE COAST
4228,QLD,TALLEBUDGERA,GOLD COAST
4211,QLD,LOWER BEECHMONT,GOLD COAST
4551,QLD,CALOUNDRA,SUNSHINE COAST
4518,QLD,GLASS HOUSE MOUNTAINS,SUNSHINE COAST
4554,QLD,EUDLO,SUNSHINE COAST
4552,QLD,BOOROOBIN,SUNSHINE COAST
4216,QLD,RUNAWAY BAY,GOLD COAST
4217,QLD,BUNDALL,GOLD COAST
4207,QLD,STEIGLITZ,GOLD COAST
4213,QLD,TALLAI,GOLD COAST
4519,QLD,PEACHESTER,SUNSHINE COAST
4560,QLD,KULANGOOR,SUNSHINE COAST
4211,QLD,CARRARA,GOLD COAST
4560,QLD,MONTVILLE,SUNSHINE COAST
4560,QLD,KIAMBA,SUNSHINE COAST
4517,QLD,BEERBURRUM,SUNSHINE COAST
4560,QLD,KUREELPA,SUNSHINE COAST
4211,QLD,NUMINBAH VALLEY,GOLD COAST
4555,QLD,LANDERS SHOOT,SUNSHINE COAST
4560,QLD,MAPLETON,SUNSHINE COAST
4556,QLD,TANAWHA,SUNSHINE COAST
4225,QLD,BILINGA,GOLD COAST
4551,QLD,BELLS CREEK,SUNSHINE COAST
4560,QLD,NAMBOUR,SUNSHINE COAST
4226,QLD,MERRIMAC,GOLD COAST
4209,QLD,PIMPAMA,GOLD COAST
4557,QLD,MOUNTAIN CREEK,SUNSHINE COAST
4551,QLD,MERIDAN PLAINS,SUNSHINE COAST
4213,QLD,NERANWOOD,GOLD COAST
4212,QLD,HOPE ISLAND,GOLD COAST
4214,QLD,ARUNDEL,GOLD COAST
4551,QLD,BARINGA,SUNSHINE COAST
4225,QLD,COOLANGATTA,GOLD COAST
4560,QLD,DULONG,SUNSHINE COAST
4207,QLD,YATALA,GOLD COAST
4210,QLD,MAUDSLAND,GOLD COAST
4564,QLD,PACIFIC PARADISE,SUNSHINE COAST
4551,QLD,LITTLE MOUNTAIN,SUNSHINE COAST
4556,QLD,FOREST GLEN,SUNSHINE COAST
4211,QLD,GILSTON,GOLD COAST
4207,QLD,WOONGOOLBA,GOLD COAST
4552,QLD,REESVILLE,SUNSHINE COAST
4552,QLD,NORTH MALENY,SUNSHINE COAST
4211,QLD,CLAGIRABA,GOLD COAST
4551,QLD,PELICAN WATERS,SUNSHINE COAST
4228,QLD,TALLEBUDGERA VALLEY,GOLD COAST
4211,QLD,MOUNT NATHAN,GOLD COAST
4574,QLD,GHEERULLA,SUNSHINE COAST
4519,QLD,BEERWAH,SUNSHINE COAST
4210,QLD,GUANABA,GOLD COAST
4208,QLD,SOUTHERN MORETON BAY ISLANDS,GOLD COAST
4218,QLD,BROADBEACH WATERS,GOLD COAST
4562,QLD,VERRIERDALE,SUNSHINE COAST
4555,QLD,PALMWOODS,SUNSHINE COAST
4552,QLD,BALMORAL RIDGE,SUNSHINE COAST
4560,QLD,FLAXTON,SUNSHINE COAST
4560,QLD,TOWEN MOUNTAIN,SUNSHINE COAST
4223,QLD,CURRUMBIN,GOLD COAST
4216,QLD,COOMBABAH,GOLD COAST
4218,QLD,MERMAID BEACH,GOLD COAST
4552,QLD,CAMBROON,SUNSHINE COAST
4211,QLD,NERANG,GOLD COAST
4551,QLD,CALOUNDRA WEST,SUNSHINE COAST
4215,QLD,LABRADOR,GOLD COAST
4227,QLD,VARSITY LAKES,GOLD COAST
4212,QLD,HELENSVALE,GOLD COAST
4551,QLD,MOFFAT BEACH,SUNSHINE COAST
4216,QLD,SOUTH STRADBROKE,GOLD COAST
4573,QLD,POINT ARKWRIGHT,SUNSHINE COAST
4560,QLD,COES CREEK,SUNSHINE COAST
4551,QLD,BANYA,SUNSHINE COAST
4213,QLD,MUDGEERABA,GOLD COAST
4211,QLD,HIGHLAND PARK,GOLD COAST
4211,QLD,ADVANCETOWN,GOLD COAST
4575,QLD,WURTULLA,SUNSHINE COAST
4216,QLD,HOLLYWELL,GOLD COAST
4575,QLD,MINYAMA,SUNSHINE COAST
4558,QLD,MAROOCHYDORE,SUNSHINE COAST
4551,QLD,CURRIMUNDI,SUNSHINE COAST
4220,QLD,BURLEIGH HEADS,GOLD COAST
4562,QLD,DOONAN,SUNSHINE COAST
4574,QLD,OBI OBI,SUNSHINE COAST
4554,QLD,ILKLEY,SUNSHINE COAST
4551,QLD,NIRIMBA,SUNSHINE COAST
4208,QLD,KINGSHOLME,GOLD COAST
4551,QLD,KINGS BEACH,SUNSHINE COAST
4213,QLD,AUSTINVILLE,GOLD COAST
4552,QLD,CURRAMORE,SUNSHINE COAST
4560,QLD,COOLOOLABIN,SUNSHINE COAST
4552,QLD,WITTA,SUNSHINE COAST
4223,QLD,CURRUMBIN VALLEY,GOLD COAST
4213,QLD,WORONGARY,GOLD COAST
4221,QLD,PALM BEACH,GOLD COAST
4575,QLD,PARREARRA,SUNSHINE COAST
4226,QLD,CLEAR ISLAND WATERS,GOLD COAST
4224,QLD,TUGUN,GOLD COAST
4221,QLD,ELANORA,GOLD COAST
4213,QLD,SPRINGBROOK,GOLD COAST
4211,QLD,NATURAL BRIDGE,GOLD COAST
4552,QLD,WOOTHA,SUNSHINE COAST
4552,QLD,MALENY,SUNSHINE COAST
4217,QLD,MAIN BEACH,GOLD COAST
4552,QLD,CONONDALE,SUNSHINE COAST
4208,QLD,GILBERTON,GOLD COAST
4550,QLD,MOUNT MELLUM,SUNSHINE COAST
4552,QLD,ELAMAN CREEK,SUNSHINE COAST
4209,QLD,COOMERA,GOLD COAST
