line_1,suburb,postal_code,state,country,location
31 SAINT PAULS AVENUE,GOLDEN BEACH,4551,QLD,AUSTRALIA,"{'longitude': 153.11600883, 'latitude': -26.81831874}"
59 WILLIAM STREET,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.03841054, 'latitude': -26.69493652}"
85 HANSFORD ROAD,COOMBABAH,4216,QLD,AUSTRALIA,"{'longitude': 153.37936281, 'latitude': -27.8988002}"
"UNIT 86, 5033 EMERALD ISLAND DRIVE",CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.37648579, 'latitude': -28.01765832}"
11 HARWOOD PLACE,MAUDSLAND,4210,QLD,AUSTRALIA,"{'longitude': 153.2967759, 'latitude': -27.92965919}"
7 PITTA STREET,MAUDSLAND,4210,QLD,AUSTRALIA,"{'longitude': 153.29408554, 'latitude': -27.92471742}"
"UNIT 1088, 1 THE COVE CRESCENT",CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.37989417, 'latitude': -28.02341817}"
"UNIT 2, 7 GABLE STREET",OXENFORD,4210,QLD,AUSTRALIA,"{'longitude': 153.32118647, 'latitude': -27.92089697}"
2 BUDERIM VISTA COURT,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.07524243, 'latitude': -26.69687823}"
9 OSCAR CLOSE,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.26171372, 'latitude': -27.79188885}"
51 BEALE STREET,SOUTHPORT,4215,QLD,AUSTRALIA,"{'longitude': 153.40088551, 'latitude': -27.9632618}"
33 FREDA STREET,ASHMORE,4214,QLD,AUSTRALIA,"{'longitude': 153.3714643, 'latitude': -27.98737532}"
84 COLEMANS FARM ROAD,YANDINA,4561,QLD,AUSTRALIA,"{'longitude': 152.93984693, 'latitude': -26.5657312}"
28 BEAUMONT COURT,CURRUMBIN WATERS,4223,QLD,AUSTRALIA,"{'longitude': 153.45654149, 'latitude': -28.14952236}"
"UNIT 54, 38-56 CASEYS ROAD",HOPE ISLAND,4212,QLD,AUSTRALIA,"{'longitude': 153.35333851, 'latitude': -27.86080196}"
26 GREAT KEPPEL CRESCENT,MOUNTAIN CREEK,4557,QLD,AUSTRALIA,"{'longitude': 153.10526222, 'latitude': -26.70562274}"
2 MELLUM COURT,DICKY BEACH,4551,QLD,AUSTRALIA,"{'longitude': 153.13173807, 'latitude': -26.7849878}"
26 CRYSTAL STREET,MAPLETON,4560,QLD,AUSTRALIA,"{'longitude': 152.86818033, 'latitude': -26.62557819}"
"UNIT 7, 9 COLERIDGE COURT",NERANG,4211,QLD,AUSTRALIA,"{'longitude': 153.31804798, 'latitude': -27.99877209}"
14 RAYMOND AVENUE,BUNDALL,4217,QLD,AUSTRALIA,"{'longitude': 153.40778737, 'latitude': -27.99966049}"
38 MARTINIQUE WAY,CLEAR ISLAND WATERS,4226,QLD,AUSTRALIA,"{'longitude': 153.39626476, 'latitude': -28.04219789}"
"UNIT 301D, 1 THE CONCOURSE",BENOWA,4217,QLD,AUSTRALIA,"{'longitude': 153.37050017, 'latitude': -28.00563691}"
"UNIT 16, 20 BEACH ROAD",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.08976824, 'latitude': -26.65096368}"
6 PAROZ ROAD,MONS,4556,QLD,AUSTRALIA,"{'longitude': 153.03099493, 'latitude': -26.6864085}"
8 SAFFRON STREET,ELANORA,4221,QLD,AUSTRALIA,"{'longitude': 153.4468116, 'latitude': -28.13015952}"
7 EUCALYPTUS WAY,PERWILLOWEN,4560,QLD,AUSTRALIA,"{'longitude': 152.93636152, 'latitude': -26.63861336}"
38-42 SCHULZ ROAD,WOOMBYE,4559,QLD,AUSTRALIA,"{'longitude': 152.98682623, 'latitude': -26.6652937}"
17 QUIGAN TERRACE,HIGHLAND PARK,4211,QLD,AUSTRALIA,"{'longitude': 153.3406471, 'latitude': -28.01673879}"
"UNIT 2, 22 ELM COURT",LABRADOR,4215,QLD,AUSTRALIA,"{'longitude': 153.38589849, 'latitude': -27.95031526}"
3 VALLEY VISTA,MALENY,4552,QLD,AUSTRALIA,"{'longitude': 152.88914568, 'latitude': -26.77786238}"
43 GREENACRE DRIVE,PARKWOOD,4214,QLD,AUSTRALIA,"{'longitude': 153.35343622, 'latitude': -27.95694418}"
6 YULONG STREET,MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.07353532, 'latitude': -26.6588964}"
20 WANDILLA DRIVE,HELENSVALE,4212,QLD,AUSTRALIA,"{'longitude': 153.33240272, 'latitude': -27.90765786}"
4 GIRUA STREET,BLI BLI,4560,QLD,AUSTRALIA,"{'longitude': 153.03996088, 'latitude': -26.61838305}"
58 PODINGA CIRCUIT,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.23645021, 'latitude': -27.76998453}"
"UNIT 42, 11 WATERFORD COURT",BUNDALL,4217,QLD,AUSTRALIA,"{'longitude': 153.40443253, 'latitude': -27.99877055}"
43C BOOGARD PLACE,CLAGIRABA,4211,QLD,AUSTRALIA,"{'longitude': 153.23770011, 'latitude': -27.96699891}"
23 PLANTATION PARADE,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.07932239, 'latitude': -26.6816565}"
"UNIT 4, 17 LEONARD AVENUE",SURFERS PARADISE,4217,QLD,AUSTRALIA,"{'longitude': 153.42284229, 'latitude': -28.00473795}"
2 CAMELIA COURT,PALMWOODS,4555,QLD,AUSTRALIA,"{'longitude': 152.95641413, 'latitude': -26.69231707}"
92 ALISON ROAD,CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.36019113, 'latitude': -28.02090297}"
13 MONTEVIDEO DRIVE,CLEAR ISLAND WATERS,4226,QLD,AUSTRALIA,"{'longitude': 153.39666909, 'latitude': -28.04359575}"
166 MONACO STREET,BROADBEACH WATERS,4218,QLD,AUSTRALIA,"{'longitude': 153.41449826, 'latitude': -28.01709571}"
258 HIGHLANDS ROAD,EUDLO,4554,QLD,AUSTRALIA,"{'longitude': 152.93912871, 'latitude': -26.72723147}"
2 MATTERS STREET,BILINGA,4225,QLD,AUSTRALIA,"{'longitude': 153.50710859, 'latitude': -28.15576671}"
22 BONAVISTA CRESCENT,DOONAN,4562,QLD,AUSTRALIA,"{'longitude': 153.00042271, 'latitude': -26.45937502}"
"UNIT 5, 6 SCANLAN COURT",BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.07032826, 'latitude': -26.68193451}"
45 RIVERMILL TERRACE,MAUDSLAND,4210,QLD,AUSTRALIA,"{'longitude': 153.27636858, 'latitude': -27.91106978}"
47 GINGER ROGERS ROAD,MAUDSLAND,4210,QLD,AUSTRALIA,"{'longitude': 153.27803115, 'latitude': -27.93864243}"
"UNIT 6, 6 GORDON STREET",LABRADOR,4215,QLD,AUSTRALIA,"{'longitude': 153.40597147, 'latitude': -27.94296107}"
13 KING ORCHID CIRCUIT,COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.33585235, 'latitude': -27.83656474}"
"UNIT 41, 18 CHELSEA AVENUE",BROADBEACH,4218,QLD,AUSTRALIA,"{'longitude': 153.43190425, 'latitude': -28.02304459}"
"UNIT 13505, 36 OLD BURLEIGH ROAD",SURFERS PARADISE,4217,QLD,AUSTRALIA,"{'longitude': 153.4321384, 'latitude': -28.01530806}"
11 BONDI LANE,CALOUNDRA WEST,4551,QLD,AUSTRALIA,"{'longitude': 153.0936516, 'latitude': -26.80318524}"
37 LINDSAY PARADE,PARADISE POINT,4216,QLD,AUSTRALIA,"{'longitude': 153.391914, 'latitude': -27.88008931}"
45 HASEMANN CRESCENT,UPPER COOMERA,4209,QLD,AUSTRALIA,"{'longitude': 153.29818042, 'latitude': -27.84862147}"
4 CALLICOMA COURT,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.24231038, 'latitude': -27.77500826}"
21 DANIELLE PLACE,BUDERIM,4556,QLD,AUSTRALIA,"{'longitude': 153.03994314, 'latitude': -26.68504652}"
"UNIT 5, 16 ARWEN STREET",MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.06892869, 'latitude': -26.653847}"
26 LENNOX STREET,PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.3113055, 'latitude': -27.93872345}"
"UNIT 1, 1923 GOLD COAST HIGHWAY",BURLEIGH HEADS,4220,QLD,AUSTRALIA,"{'longitude': 153.44797373, 'latitude': -28.08172891}"
10 ARDLETHAN COURT,HELENSVALE,4212,QLD,AUSTRALIA,"{'longitude': 153.32977254, 'latitude': -27.90968669}"
59 CHAROLAIS CRESCENT,BENOWA,4217,QLD,AUSTRALIA,"{'longitude': 153.39696168, 'latitude': -28.0196953}"
13 AUGUSTUS STREET,PACIFIC PINES,4211,QLD,AUSTRALIA,"{'longitude': 153.31919135, 'latitude': -27.93174373}"
17 LAKESHORE DRIVE,HELENSVALE,4212,QLD,AUSTRALIA,"{'longitude': 153.33986125, 'latitude': -27.89084748}"
136 CAMPBELL STREET,BUNDALL,4217,QLD,AUSTRALIA,"{'longitude': 153.403824, 'latitude': -28.0111036}"
3 WAKEFIELD STREET,WOOMBYE,4559,QLD,AUSTRALIA,"{'longitude': 152.96626146, 'latitude': -26.6609598}"
"UNIT 1, 2 PEACHWOOD COURT",ROBINA,4226,QLD,AUSTRALIA,"{'longitude': 153.3977816, 'latitude': -28.09096618}"
"UNIT 1, 137 OLD BURLEIGH ROAD",BROADBEACH,4218,QLD,AUSTRALIA,"{'longitude': 153.43317258, 'latitude': -28.02652751}"
26 FORSAYTH LANE,MAROOCHYDORE,4558,QLD,AUSTRALIA,"{'longitude': 153.07573215, 'latitude': -26.66126216}"
"UNIT 9, 55 CAPRICORN CRESCENT",MERIDAN PLAINS,4551,QLD,AUSTRALIA,"{'longitude': 153.09839697, 'latitude': -26.76912018}"
3 LAMANDRA LANE,SIPPY DOWNS,4556,QLD,AUSTRALIA,"{'longitude': 153.0578698, 'latitude': -26.72644504}"
"UNIT 1066, 1 THE COVE CRESCENT",CARRARA,4211,QLD,AUSTRALIA,"{'longitude': 153.3799426, 'latitude': -28.02460305}"
77 KARALL STREET,ORMEAU,4208,QLD,AUSTRALIA,"{'longitude': 153.23923517, 'latitude': -27.77196085}"
1103 DAVID LOW WAY,MARCOOLA,4564,QLD,AUSTRALIA,"{'longitude': 153.09335501, 'latitude': -26.58550561}"
"UNIT 16, 15 PACIFIC STREET",MAIN BEACH,4217,QLD,AUSTRALIA,"{'longitude': 153.42811847, 'latitude': -27.98218338}"
